	persName ektobe-headword.Source 1.fr	relation possibly-identical	death.Source 1.fr	death when.Source 1	death notBefore.Source 1	death notAfter.Source 1	birth.Source 1.fr	birth when.Source 1		floruit.Source 1.fr	floruit when.Source 1		floruit notBefore.Source 1		floruit notAfter.Source 1		persName syriaca-headword.Source 1.syr	persName.Source 1.syr	persName.Source 1.fr	state office.Source 1.fr	state office.Source 1.fr	note relation.Source 1.fr	persName.Source 1.fr	persName.Source 1.fr	persName.Source 1.ar	Source 1	citedRange entry.Source 1	Source 2	citedRange fol.Source 2	New URI	person ana		
Noms 	ektobe Headword (no date)	Possibly Identical?							extracted date							Formes usuelles	Formes usuelles (syriaque)	Formes usuelles (syriaque)	Formes usuelles (français)				Formes usuelles (français)	Formes usuelles (français)	Formes usuelles (arabe)					Syriaca ID		Rôles	Remarks for SYRIACA
Gabriel de Bet Rabban (17 s.)	Gabriel de Bet Rabban								17 s.	17 s.		1550	1550	1750	1750	ܓܒܪܐܝܠ ܕܒܝܬ ܪܒܢ	ܓܒܪܐܝܠ ܕܒܝܬ ܪܒܢ									2499	none			105	#syriaca-author 	Auteur/ Relieur	
Galien  	Galien  															ܓܠܝܢܘܣ	ܓܠܝܢܘܣ									2499	none			496	#syriaca-author 	Attribué à	
Georges des Arabes (†724)	Georges des Arabes		†724	0724					†724							ܓܘܪܓܝ	ܓܘܪܓܝ									2499	none			122	#syriaca-author 	Auteur	
Georges Warda (13 s.)	Georges Warda								13 s.	13 s.		1150	1150	1350	1350	 ܓܝܘܪܓܝܣ ܘܪܕܐGiwargis Warda	 ܓܝܘܪܓܝܣ ܘܪܕܐ		Giwargis Warda						 	2499	none			504	#syriaca-author 	Auteur	
Giwargis I (†680/1)	Giwargis I		†680/1		0680	0681			†680/1							ܓܘܪܓܝܣ  Georges I Catholicos 	ܓܘܪܓܝܣ  		Georges I Catholicos							2499	none			501	#syriaca-author 	Auteur	
Grégoire Barhebraeus (13 s.)	Grégoire Barhebraeus								13 s.	13 s.		1150	1150	1350	1350	ܓܪܝܓܘܪܝܘܣ	ܓܪܝܓܘܪܝܘܣ									2499	none			239	#syriaca-author 	Auteur	
Grégoire de Nazianze (†390)	Grégoire de Nazianze		†390	0390					†390							ܓܪܝܓܘܪ ܝܘܣܕܢܙܝܢܙܘ	ܓܪܝܓܘܪ ܝܘܣܕܢܙܝܢܙܘ									2499	none			511	#syriaca-author #syriaca-saint	Auteur / saint	
Grégoire de Nysse (4 s.)	Grégoire de Nysse								4 s.	4 s.		250	0250	450	0450	ܓܪܝܓܪܝܘܣ	ܓܪܝܓܪܝܘܣ									2499	none			512	#syriaca-author 	Auteur	
Grégoire Jacques (†1214)	Grégoire Jacques		†1214	1214					†1214							ܓܪܝܓܪܝܘܣ, Maphrien, neveu de Michel le Syrien	ܓܪܝܓܪܝܘܣ			Maphrien		neveu de Michel le Syrien				2499	none			222	#syriaca-author 	auteur	
Grégoire le moine (7 s.) 	Grégoire le moine								7 s.	7 s.		550	0550	750	0750	Grégoire de Chypre, ܓܪܝܓܪܝܘܣ	ܓܪܝܓܪܝܘܣ		Grégoire de Chypre							2499	none			21	#syriaca-author 	Auteur	
Ḥassan bar Bahlul (10 s.)	Ḥassan bar Bahlul								10 s.	10 s.		850	0850	1050	1050	ܚܣܢ ܒܪ ܒܗܠܘܠ	ܚܣܢ ܒܪ ܒܗܠܘܠ									2499	none			365	#syriaca-author 	Auteur	
Ḥunayn ibn Isḥaq (9 s.)	Ḥunayn ibn Isḥaq								9 s.	9 s.		750	0750	950	0950	 ܚܘܢܝܢ ܐܒܢ ܐܝܣܚܩ  	 ܚܘܢܝܢ ܐܒܢ ܐܝܣܚܩ  								 	2499	none			542	#syriaca-author 	Auteur	
Ignaṭios bar Qiqi	Ignaṭios bar Qiqi															ܐܝܓܢܐܛܝܘܣ ܒܪ ܩܝܩܝ	ܐܝܓܢܐܛܝܘܣ ܒܪ ܩܝܩܝ									2499	none			189	#syriaca-author 	Auteur	
Ignaṭios bar Wahib (†1333)	Ignaṭios bar Wahib		†1333	1333					†1333							ܐܝܓܢܐܛܝܘܣ	ܐܝܓܢܐܛܝܘܣ									2499	none			249	#syriaca-author 	auteur	
Isaac d'Antioche (5 s.)	Isaac d'Antioche								5 s.	5 s.		350	0350	550	0550	ܐܝܣܚܩ	ܐܝܣܚܩ									2499	none			33	#syriaca-author 	Auteur	
Isaac de Ninive (7 s.)	Isaac de Ninive								7 s.	7 s.		550	0550	750	0750	 Isaac le Syrien ܐܝܣܚܩ ܕܢܘܢܘܐ	ܐܝܣܚܩ ܕܢܘܢܘܐ		Isaac le Syrien						 	2499	none			550	#syriaca-author 	Auteur	
