New URI	Edition 1	citedRange entry.Edition 1		witnesses.Edition 1	Edition 2	citedRange vol.Edition 2	citedRange pp.Edition 2	MS 1	citedRange fol.MS 1	title syriaca-headword.Edition 1.en	title syriaca-headword.en	title.Edition 1.en	title abbreviation.en	title.en	title syriaca-headword.Edition 1.syr	title.MS 1.syr	author ref.Edition 1				relation dct---isPartOf.Edition 1	Translation 1	citedRange vol.Translation 1	lang.Translation 1
*** Syriaca Work ID	Syriac Corpus Bibl	Syriac Corpus Entry	Syriac Corpus URI	Witnesses of Syriac Corpus text	Transcribed Edition	Vols from transcribed edition (if relevant)	Pages from transcribed edition	Transcribed Manuscript	Manuscript Folios	English Title (Headword, Edition 1)	English Title (Headword, if different from Edition 1	English Title (Edition 1, if different from Headword)	English Abbreviation		Syriac Title (Headword, Edition 1)	Syriac Title (MS 1)	Author URI	Author Headword (not for export)	Is Part of Work URI	Number in Collection	Is Part of Work URI {number in collection}			
*** REQUIRED. Contains the new Syriaca.org URI to be assigned to each row.	bibl entry of Syriac Corpus in Syriaca.org	Entry title + [URI] (auto-generated)	Used to autogenerate citedRange entry.Edition 1	Names of columns containing ids of manuscripts, editions, etc. that are witnesses for this work. Separate multiple items with commas.	Use bibl URI (e.g., 2329 for Parisot)			Syriaca.org manuscript URI or shelfmark if there is no URI yet.	Folio numbers cited from MS 1	REQUIRED. (text) The display name used in Syriaca page titles, etc. Each row must have at least 1 cell with a "title syriaca-headword" value, in English ("en"), transliteration (e.g., "en-x-gedsh"), or Syriac ("syr"). This can have a source but doesn't have to. (See http://syriaca.org/exist/apps/srophe/documentation/headwords.html)					REQUIRED. (text) The display name used in Syriaca page titles, etc. Each row must have at least 1 cell with a "title syriaca-headword" value, in English ("en"), transliteration (e.g., "en-x-gedsh"), or Syriac ("syr"). This can have a source but doesn't have to. (See http://syriaca.org/exist/apps/srophe/documentation/headwords.html)	Syriac title according to source MS 1.	RECOMMENDED. (URI) The full Syriaca.org URI of the work author, according to Source 1. If there is more than 1 author from Source 1, duplicate this column.				OPTIONAL. (Syriaca.org URI) The URI of a Syriaca.org work which contains this work. Separate multiple URIs with commas. (If the URI contains commas [unlikely], replace them with "%2c".) The conversion automatically uses the value of the column name after "relation_" as the @ref of the <relation>, but currently only "possibly-identical" is defined in the column-mapping template. Triple-hyphens (---) in the @ref values are converted to colons (:) to allow prefixed namespaces. If the work should be assigned an order within the larger work, place the order number in { } after the containing work URI, separated by a space.			
8526	2331	Memre on Joseph								Memre on Joseph							http://syriaca.org/person/42	Jacob of Serugh						
8527	2331	On Joseph (Memra 1) [https://syriaccorpus.org/26]	https://syriaccorpus.org/26	MS 1				Vatican Syriac 117	412v-415v	On Joseph (Memra 1)					ܡܺܐܡܪܳܐ ܩܰܕܡܳܝܳܐ ܕܥܰܠ ܝܰܘܣܶܦ		http://syriaca.org/person/42	Jacob of Serugh	http://syriaca.org/work/8526	1	http://syriaca.org/work/8526 {1}			
8528	2331	Homilies of Narsai								Homilies of Narsai							http://syriaca.org/person/650	Narsai						
8529	2331	On the Divine Revelations to Abraham  [https://syriaccorpus.org/27]	https://syriaccorpus.org/27	Edition 2	1765	1	1-28				On the Divine Revelations to Abraham 	On the Divine Revelations to Abraham (Memra 1)			ܥܠ ܓܠܝܢ̈ܐ ܐܠܗܝ̈ܐ ܕܗܘܘ ܠܘܬ ܐܒܪܗܡ		http://syriaca.org/person/650	Narsai	http://syriaca.org/work/8528	1	http://syriaca.org/work/8528 {1}			
8530	2331	On the Divine Revelations to the Patriarchs and the Prophets  [https://syriaccorpus.org/28]	https://syriaccorpus.org/28	Edition 2	1765	1	29-56				On the Divine Revelations to the Patriarchs and the Prophets 	On the Divine Revelations to the Patriarchs and the Prophets (Memra 2)			ܥܠ ܓܠܝ̈ܢܐ ܐܠܗ̈ܝܐ ܕܗܘܘ ܠܘܬ ܐܒܗ̈ܬܐ ܘܢܒ̈ܝܐ		http://syriaca.org/person/650	Narsai	http://syriaca.org/work/8528	2	http://syriaca.org/work/8528 {2}			
8531	2331	On the Revelations to Abraham  [https://syriaccorpus.org/29]	https://syriaccorpus.org/29	Edition 2	1765	1	57-68				On the Revelations to Abraham 	On the Revelations to Abraham (Memra 3)			ܥܠ ܓܠܝܢ̈ܐ ܕܠܘܬ ܐܒܪܗܡ		http://syriaca.org/person/650	Narsai	http://syriaca.org/work/8528	3	http://syriaca.org/work/8528 {3}			
8532	2331	On the Birth of Our Lord  [https://syriaccorpus.org/30]	https://syriaccorpus.org/30	MS 1				BL Oriental 5463	21r-26v		On the Birth of Our Lord 	On the Birth of Our Lord (Memra 4)				ܥܲܠ ܝܲܠܕܹܗ ܕܡܵܪܢ	http://syriaca.org/person/650	Narsai	http://syriaca.org/work/8528	4	http://syriaca.org/work/8528 {4}			
8533	2331	On the Virgin Mary  [https://syriaccorpus.org/31]	https://syriaccorpus.org/31	MS 1				BL Oriental 5463	26r-32r		On the Virgin Mary 	On the Virgin Mary (Memra 5)				ܥܲܠ ܡܵܪܬܿܝ ܡܲܪܝܲܡ	http://syriaca.org/person/650	Narsai	http://syriaca.org/work/8528	5	http://syriaca.org/work/8528 {5}			
8534	2331	On Epiphany  [https://syriaccorpus.org/32]	https://syriaccorpus.org/32	MS 1				BL Oriental 5463	32r-37v		On Epiphany 	On Epiphany (Memra 6)				ܥܲܠ ܕܸܢܚܵܐ	http://syriaca.org/person/650	Narsai	http://syriaca.org/work/8528	6	http://syriaca.org/work/8528 {6}			
8535	2331	On John the Baptist  [https://syriaccorpus.org/33]	https://syriaccorpus.org/33	MS 1				BL Oriental 5463	37v-43v		On John the Baptist 	On John the Baptist (Memra 7)				ܥܲܠ ܡܵܪܝ ܝܘܿܚܲܢܵܢ ܡܲܥܡܕܵܢ̇ܐ	http://syriaca.org/person/650	Narsai	http://syriaca.org/work/8528	7	http://syriaca.org/work/8528 {7}			
8536	2331	On Peter and Paul  [https://syriaccorpus.org/34]	https://syriaccorpus.org/34	Edition 2	1765	1	68-89				On Peter and Paul 	On Peter and Paul (Memra 8)				ܕܕܼܘܼܟܼܪܵܢܵܐ ܕܦܲܛܪܘܿܣ ܘܦܵܘܠܘܿܣ	http://syriaca.org/person/650	Narsai	http://syriaca.org/work/8528	8	http://syriaca.org/work/8528 {8}			
8537	2331	On the Four Evangelists  [https://syriaccorpus.org/35]	https://syriaccorpus.org/35	MS 1				BL Oriental 5463	51r-55r		On the Four Evangelists 	On the Four Evangelists (Memra 9)				ܥܲܠ ܫܠܝܼܚܹ̈ܐ	http://syriaca.org/person/650	Narsai	http://syriaca.org/work/8528	9	http://syriaca.org/work/8528 {9}			
8538	2331	On Stephen  [https://syriaccorpus.org/36]	https://syriaccorpus.org/36	Edition 2	1765	1	90-99				On Stephen 	On Stephen (Memra 10)			ܕܕܼܘܼܟܼܪܵܢܵܐ ܕܡܵܪܝ ܐܸܣܛܲܦܵܢܘܿܣ		http://syriaca.org/person/650	Narsai	http://syriaca.org/work/8528	10	http://syriaca.org/work/8528 {10}			
8539	2331	On the Three Doctors  [https://syriaccorpus.org/37]	https://syriaccorpus.org/37	MS 1				BL Oriental 5463	60r-68r		On the Three Doctors 	On the Three Doctors (Memra 11)				ܥܲܠ ܐܲܒܼܗ̈ܬܼܵܐ ܘܡܲܠܦܵܢܹ̈ܐ ܝܵܘܢܝܹ̈ܐ	http://syriaca.org/person/650	Narsai	http://syriaca.org/work/8528	11	http://syriaca.org/work/8528 {11}			
8540	2331	On the Iniquity of the World  [https://syriaccorpus.org/38]	https://syriaccorpus.org/38	Edition 2	1765	1	100-117				On the Iniquity of the World 	On the Iniquity of the World (Memra 12)			ܥܲܠ ܒܝܼܫܘܼܬܼ ܙܲܒܼܢܵܐ ܘܠܵܚܹܡ ܠܒܼܵܥܘܼܬܼܵܐ		http://syriaca.org/person/650	Narsai	http://syriaca.org/work/8528	12	http://syriaca.org/work/8528 {12}			
8541	2331	On Supplication  [https://syriaccorpus.org/39]	https://syriaccorpus.org/39	Edition 2	1765	1	117-133				On Supplication 	On Supplication (Mamra 13)			ܕܒܼܵܥܘܼܬܼܵܐ ܘܲܕܼܨܵܘܡܵܐ		http://syriaca.org/person/650	Narsai	http://syriaca.org/work/8528	13	http://syriaca.org/work/8528 {13}			
8542	2331	On Jonah  [https://syriaccorpus.org/40]	https://syriaccorpus.org/40	Edition 2	1765	1	134-149				On Jonah 	On Jonah (Memra 14)			ܥܠ ܝܘܢܢ ܢܒܝܐ		http://syriaca.org/person/650	Narsai	http://syriaca.org/work/8528	14	http://syriaca.org/work/8528 {14}			
8543	2331	On Reproof  [https://syriaccorpus.org/41]	https://syriaccorpus.org/41	Edition 2	1765	1	149-167				On Reproof 	On Reproof (Memra 15)			ܥܲܠ ܡܲܟܿܣܵܢܘܼܬܼܵܐ		http://syriaca.org/person/650	Narsai	http://syriaca.org/work/8528	15	http://syriaca.org/work/8528 {15}			
8544	2331	On Human Nature  [https://syriaccorpus.org/42]	https://syriaccorpus.org/42	Edition 2	1765	1	257-270				On Human Nature 	On Human Nature (Memra 16)			ܥܠ ܟܝܢܐ ܐܢܫܝܐ		http://syriaca.org/person/650	Narsai	http://syriaca.org/work/8528	16	http://syriaca.org/work/8528 {16}			
8545	2331	For Any Saints Day  [https://syriaccorpus.org/43]	https://syriaccorpus.org/43	MS 1				Vatican Syriac 588	61r-64r [https://digi.vatlib.it/view/MSS_Vat.sir.588]		For Any Saints Day 	For Any Saints Day (Memra 17)				ܡܐܡܪܐ ܕܚܕ ܦܪܨܘܦܐ	http://syriaca.org/person/650	Narsai	http://syriaca.org/work/8528	17	http://syriaca.org/work/8528 {17}			
