New URI	title syriaca-headword.en		title syriaca-headword.Edition 1.syr	Corresponding work	Corresponding Work URI	idno URI	idno URI	idno URI	idno URI	idno URI
9597	Galatians (literary tradition)		ܐܓܪܬܐ ܕܦܘܠܘܣ ܕܠܘܬ ܓܠܛܝ̈ܐ	80	http://wwwb.library.vanderbilt.edu/work/80	https://en.wikipedia.org/wiki/Epistle_to_the_Galatians	https://www.wikidata.org/wiki/Q128620	https://viaf.org/viaf/177784291		
9598	Ephesians (literary tradition)		ܐܓܪܬܐ ܕܦܘܠܘܣ ܕܠܘܬ ܐܦܣܝ̈ܐ	81	http://wwwb.library.vanderbilt.edu/work/81	https://en.wikipedia.org/wiki/Epistle_to_the_Ephesians	https://www.wikidata.org/wiki/Q408673	https://viaf.org/viaf/175374828		
9599	Philippians (literary tradition)		ܐܓܪܬܐ ܕܦܘܠܘܣ ܕܠܘܬ ܦܝܠܝܦܣܝ̈ܐ	82	http://wwwb.library.vanderbilt.edu/work/82	https://en.wikipedia.org/wiki/Epistle_to_the_Philippians	https://www.wikidata.org/wiki/Q51613			
9600	Colossians (literary tradition)		ܐܓܪܬܐ ܕܦܘܠܘܣ ܕܠܘܬ ܩܘܠ̈ܣܝܐ	83	http://wwwb.library.vanderbilt.edu/work/83	https://en.wikipedia.org/wiki/Epistle_to_the_Colossians	https://www.wikidata.org/wiki/Q131095	https://viaf.org/viaf/182875824		
9601	1 Thessalonians (literary tradition)		ܐܓܪܬܐ ܕܦܘܠܘܣ ܕܠܘܬ ܬܣܠ̈ܘܢܝܩܝܐ ܩܕܡܝܬܐ	84	http://wwwb.library.vanderbilt.edu/work/84	https://en.wikipedia.org/wiki/First_Epistle_to_the_Thessalonians	https://www.wikidata.org/wiki/Q131115			
9602	2 Thessalonians (literary tradition)		ܐܓܪܬܐ ܕܦܘܠܘܣ ܕܠܘܬ ܬܣܠ̈ܘܢܝܩܝܐ ܕܬܪܬܝܢ	85	http://wwwb.library.vanderbilt.edu/work/85	https://en.wikipedia.org/wiki/Second_Epistle_to_the_Thessalonians	https://www.wikidata.org/wiki/Q131107			
9603	1 Timothy (literary tradition)		ܐܓܪܬܐ ܕܦܘܠܘܣ ܕܠܘܬ ܛܝܡܬܐܘܣ ܩܕܡܝܬܐ	86	http://wwwb.library.vanderbilt.edu/work/86	https://en.wikipedia.org/wiki/First_Epistle_to_Timothy	https://www.wikidata.org/wiki/Q131180			
9604	2 Timothy (literary tradition)		ܐܓܪܬܐ ܕܦܘܠܘܣ ܕܠܘܬ ܛܝܡܬܐܘܣ ܕܬܪܬܝܢ	87	http://wwwb.library.vanderbilt.edu/work/87	https://en.wikipedia.org/wiki/Second_Epistle_to_Timothy	https://www.wikidata.org/wiki/Q131489			
9605	Titus (literary tradition)		ܐܓܪܬܐ ܕܦܘܠܘܣ ܕܠܘܬ ܛܝܛܘܣ	88	http://wwwb.library.vanderbilt.edu/work/88	https://en.wikipedia.org/wiki/Epistle_to_Titus	https://www.wikidata.org/wiki/Q131493			
9606	Philemon (literary tradition)		ܐܓܪܬܐ ܕܦܘܠܘܣ ܕܠܘܬ ܦܝܠܝܡܘܢ	89	http://wwwb.library.vanderbilt.edu/work/89	https://en.wikipedia.org/wiki/Epistle_to_Philemon	https://www.wikidata.org/wiki/Q131104			
9607	Hebrews (literary tradition)		ܐܓܪܬܐ ܕܠܘܬ ܥܒܪ̈ܝܐ	90	http://wwwb.library.vanderbilt.edu/work/90	https://en.wikipedia.org/wiki/Epistle_to_the_Hebrews	https://www.wikidata.org/wiki/Q128608			
9609	1 Peter (literary tradition)		ܐܓܪܬܐ ܕܦܛܪܘܣ ܫܠܝܚܐ	92	http://wwwb.library.vanderbilt.edu/work/92	https://en.wikipedia.org/wiki/First_Epistle_of_Peter	https://www.wikidata.org/wiki/Q131119			
9612	2 John (literary tradition)		ܐܓܪܬܐ ܕܬܪܬܝܢ ܕܝܘܚܢܢ	95	http://wwwb.library.vanderbilt.edu/work/95	https://en.wikipedia.org/wiki/Second_Epistle_of_John	https://www.wikidata.org/wiki/Q131453			
9613	3 John (literary tradition)		ܐܓܪܬܐ ܕܬܠܬ ܕܝܘܚܢܢ	96	http://wwwb.library.vanderbilt.edu/work/96	https://en.wikipedia.org/wiki/Third_Epistle_of_John	https://www.wikidata.org/wiki/Q131462			
9614	Jude (literary tradition)		ܐܓܪܬܐ ܕܝܗܘܕܐ	97	http://wwwb.library.vanderbilt.edu/work/97	https://en.wikipedia.org/wiki/Epistle_of_Jude	https://www.wikidata.org/wiki/Q131466			
9615	Revelation (literary tradition)		ܓܠܝܢܐ ܕܝܘܚܢܢ	98	http://wwwb.library.vanderbilt.edu/work/98	https://en.wikipedia.org/wiki/Book_of_Revelation	https://www.wikidata.org/wiki/Q42040	https://viaf.org/viaf/181843323		
9618	Hosea (literary tradition)		ܣܦܪܐ ܕܗܘܫܥ ܢܒܝܐ	28	http://wwwb.library.vanderbilt.edu/work/28	https://en.wikipedia.org/wiki/Book_of_Hosea	https://www.wikidata.org/wiki/Q184030	https://viaf.org/viaf/183467032	https://viaf.org/viaf/180609249	
9621	Ezekiel (literary tradition)		ܣܦܪܐ ܕܚܙܩܝܐܠ ܢܒܝܐ	26	http://wwwb.library.vanderbilt.edu/work/26	https://en.wikipedia.org/wiki/Book_of_Ezekiel	https://www.wikidata.org/wiki/Q178390	https://viaf.org/viaf/176193843		
9623	Proverbs (literary tradition)		ܣܦܪܐ ܕܡ̈ܬܠܐ ܕܫܠܝܡܘܢ	20	http://wwwb.library.vanderbilt.edu/work/20	https://en.wikipedia.org/wiki/Book_of_Proverbs	https://www.wikidata.org/wiki/Q4579			
9628	Genesis (literary tradition)		ܣܦܪܐ ܕܒܪܝܫܝܬ	1	http://wwwb.library.vanderbilt.edu/work/1	https://en.wikipedia.org/wiki/Book_of_Genesis	https://www.wikidata.org/wiki/Q9184	https://viaf.org/viaf/174582712		
9632	Exodus (literary tradition)		ܣܦܪܐ ܕܡܦܩܢܐ	2	http://wwwb.library.vanderbilt.edu/work/2	https://en.wikipedia.org/wiki/Book_of_Exodus	https://www.wikidata.org/wiki/Q9190			
