New URI	title syriaca-headword.en
201	The Synoptic/First Three Gospels (Peshitta)
202	Tobit (LXX/Septuagint Version)
203	The First Two Gospels (Peshitta)
204	"Matthew, in Arabic translation (Peshitta)"
205	"Mark, in Arabic translation (Peshitta)"
206	"Luke, in Arabic translation (Peshitta)"
207	"John, in Arabic translation (Peshitta)"
208	The Last Two Gospels (Peshitta)
209	The remaining Apostolic Epistles (Peshitta)
210	The Apostolic Epistles (Peshitta)
211	The Book of Women (Peshitta)
212	Thecla (Peshitta)
213	The first two books of the Maccabees (Peshitta)
214	"Protoevangelium of James (""the Greek text"")"
216	The Gospels of S. Matthew and S. John (Peshitta)
217	"The First Two Gospels, in Arabic translation (Peshitta)"
218	The Gospel of Luke (Unidentified Latin Version)
219	James (Harklensian Version)
220	2 Peter (Harklensian Version)
