term syriaca-headword.en	***Categories	***Source	***currently in use	New URI	idno URI	idno URI	idno	gloss.en	gloss.en	gloss.en	gloss.en	gloss.en	gloss.en	gloss.ln	gloss.ln	gloss.grc	note abstract	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	***[revisit]	***[NOTES]		
Monks		SPEAR	monk	monks	http://lccn.loc.gov/nb2009027419																http://syriaca.org/keyword/christianity																						http://syriaca.org/keyword/monasticism		http://syriaca.org/keyword/occupations	http://syriaca.org/keyword/persons			http://syriaca.org/keyword/religion													
Monoenergism		new		monoenergism																	http://syriaca.org/keyword/christianity											http://syriaca.org/keyword/ideology																														
Monophysitism		CBSC	Monophysitism	monophysitism	http://lccn.loc.gov/sh85086960																http://syriaca.org/keyword/christianity											http://syriaca.org/keyword/ideology																														
Monotheletism		CBSC	Monotheletism	monotheletism	http://lccn.loc.gov/sh85086977																http://syriaca.org/keyword/christianity											http://syriaca.org/keyword/ideology																														
Montanism		CBSC	Montanism	montanism	http://lccn.loc.gov/sh85087022																http://syriaca.org/keyword/christianity											http://syriaca.org/keyword/ideology																														
Months		CBSC	months	months	http://lccn.loc.gov/sh85087066																																																		http://syriaca.org/keyword/time							
Moon		CBSC	moon	moon	http://lccn.loc.gov/sh85087107																																							http://syriaca.org/keyword/objects																		
Morphology		CBSC	morphology	morphology	http://lccn.loc.gov/sh85087347																																		http://syriaca.org/keyword/linguistics																							
Mosaicist		new		mosaicist				mosaic maker																																					http://syriaca.org/keyword/occupations																	
Mosaics		CBSC	mosaics	mosaics	http://lccn.loc.gov/sh85087419															http://syriaca.org/keyword/art									http://syriaca.org/keyword/fields-of-study															http://syriaca.org/keyword/objects										http://syriaca.org/keyword/techne								
Mothers		CBSC	mother	mothers																																										http://syriaca.org/keyword/persons																
Mountains		CBSC	mountain	mountains	http://lccn.loc.gov/sh85087823																																										http://syriaca.org/keyword/places															
Mulitlingualism		CBSC		mulitlingualism	http://id.loc.gov/authorities/subjects/sh85088352			plurilingualism	polyglottism																														http://syriaca.org/keyword/linguistics																							
Municipal office holder		new		municipal-office-holder																																									http://syriaca.org/keyword/occupations																	
Music		CBSC	music	music	http://lccn.loc.gov/sh85088762															http://syriaca.org/keyword/art																																		http://syriaca.org/keyword/techne								
Musicians		new		musicians																																									http://syriaca.org/keyword/occupations																	
Muslim-Christian relations		CBSC	Muslim-Christian relations	muslim-christian-relations																	http://syriaca.org/keyword/christianity														http://syriaca.org/keyword/islam														http://syriaca.org/keyword/religion													
Myron		CBSC	myron	myron	http://lccn.loc.gov/sh85025005																http://syriaca.org/keyword/christianity																				http://syriaca.org/keyword/liturgy			http://syriaca.org/keyword/objects						http://syriaca.org/keyword/ritual												
Mystery		CBSC	mystery	mystery	http://lccn.loc.gov/sh85089341																http://syriaca.org/keyword/christianity																				http://syriaca.org/keyword/liturgy																					
Mysticism		CBSC	mysticism	mysticism	http://lccn.loc.gov/sh85089345																											http://syriaca.org/keyword/ideology																	http://syriaca.org/keyword/religion													
Mythology		CBSC	mythology	mythology	http://lccn.loc.gov/n42708851																										http://syriaca.org/keyword/genres																															
Nabateans		CBSC	Nabateans	nabateans	http://lccn.loc.gov/sh85089476																						http://syriaca.org/keyword/ethnicity						http://syriaca.org/keyword/institutions																													
Nag Hammadi		CBSC	Nag Hammadi	nag-hammadi																																																							x	CBSC uses this to tag things related to the texts, it is not used to refer to a place. Do we want a subject heading for this or a should it be a literary tradition?		
Names		CBSC	names	names	http://lccn.loc.gov/sh85089592																																		http://syriaca.org/keyword/linguistics																							
Nationalism		CBSC	nationalism	nationalism	http://lccn.loc.gov/sh85090150																	http://syriaca.org/keyword/culture										http://syriaca.org/keyword/ideology																														
Nations		CBSC	nations	nations	http://lccn.loc.gov/n2005045541																																										http://syriaca.org/keyword/places															
Nativity		CBSC	Nativity	nativity	http://lccn.loc.gov/sh85070067																http://syriaca.org/keyword/christianity							http://syriaca.org/keyword/events																											http://syriaca.org/keyword/time							
Natural disasters		CBSC	natural disasters	natural-disasters	http://lccn.loc.gov/n91019936																							http://syriaca.org/keyword/events																																		
Natural History		NHSL		natural-history	http://id.loc.gov/authorities/subjects/sh85090222																								http://syriaca.org/keyword/fields-of-study		http://syriaca.org/keyword/genres																															
Nature		CBSC	nature	nature	http://lccn.loc.gov/sh85090277																					http://syriaca.org/keyword/ethics																																				
Neologisms		CBSC	neologisms	neologisms	http://lccn.loc.gov/sh85148117																																		http://syriaca.org/keyword/linguistics																							
Neoplatonism		CBSC	Neoplatonism	neoplatonism	http://lccn.loc.gov/sh85090807																											http://syriaca.org/keyword/ideology	http://syriaca.org/keyword/institutions																													
Nergal		CBSC	Nergal	nergal																																										http://syriaca.org/keyword/persons			http://syriaca.org/keyword/religion													
Nestorians		CBSC	Nestorians	nestorians	http://lccn.loc.gov/sh2010013044																http://syriaca.org/keyword/christianity												http://syriaca.org/keyword/institutions																										x	Do we want to perpetuate this terminology or should this simply be a variant under "The Church of the East"?		
New Testament		CBSC	New Testament	new-testament	http://lccn.loc.gov/n79023150																http://syriaca.org/keyword/christianity										http://syriaca.org/keyword/genres																												x	Should this be a subject or a literary tradition?		
Nicene Creed		CBSC	Nicaea	nicene-creed	http://id.loc.gov/authorities/names/n82069735			Niceno-constantinopolitan creed	Nicene-constantinopolitan creed												http://syriaca.org/keyword/christianity																																http://syriaca.org/keyword/speech-acts						x	I have added this. See note regarding Council of Nicaea		
Ninevites		CBSC	Ninevites	ninevites																							http://syriaca.org/keyword/ethnicity						http://syriaca.org/keyword/institutions																													
Nisan		CBSC	Nisan	nisan	http://lccn.loc.gov/sh96004904																																				http://syriaca.org/keyword/liturgy														http://syriaca.org/keyword/time							
Nobles		SPEAR	noble	nobles	http://lccn.loc.gov/n96040626																																									http://syriaca.org/keyword/persons						http://syriaca.org/keyword/socioeconomic-status										
Nomads		CBSC	nomads	nomads	http://lccn.loc.gov/sh85092204																			http://syriaca.org/keyword/economics									http://syriaca.org/keyword/institutions												http://syriaca.org/keyword/occupations																	
Notaries		new		notaries				notary	witness					signatores																															http://syriaca.org/keyword/occupations																	
Novels		CBSC	novel	novels	http://lccn.loc.gov/no2010015661																										http://syriaca.org/keyword/genres																															
NT apocrypha		CBSC	NT apocrypha	nt-apocrypha	http://lccn.loc.gov/sh85006007																http://syriaca.org/keyword/christianity										http://syriaca.org/keyword/genres																												x	Should this be a subject or a literary tradition?		
Numerals		CBSC	numerals	numerals	http://lccn.loc.gov/sh85093229																																		http://syriaca.org/keyword/linguistics																			http://syriaca.org/keyword/writing				
Oaths		new		oaths																																																	http://syriaca.org/keyword/speech-acts									
Objects	category	category		objects																																																										
Occupations	category	category		occupations																																																										
Oil		CBSC	oil	oil	http://lccn.loc.gov/sh85100361																																				http://syriaca.org/keyword/liturgy			http://syriaca.org/keyword/objects						http://syriaca.org/keyword/ritual												
Old age		CBSC	old age	old-age	http://lccn.loc.gov/sh85094506																																																									
Old Syriac inscriptions		CBSC	Old Syriac inscriptions	old-syriac-inscriptions	http://lccn.loc.gov/sh98007366																																			http://syriaca.org/keyword/literature																		http://syriaca.org/keyword/writing				
Old Testament		CBSC	Old Testament	old-testament	http://lccn.loc.gov/n79054379																																																						x	Should this be a subject or a literary tradition?		
Omens		SPEAR	omen	omens	http://lccn.loc.gov/sh85094687																																												http://syriaca.org/keyword/religion													
Onomastics		CBSC	onomastics	onomastics	http://lccn.loc.gov/sh85094813																								http://syriaca.org/keyword/fields-of-study																																	
Ophites		CBSC	ophites	ophites	http://lccn.loc.gov/sh85095055																																												http://syriaca.org/keyword/religion													
Oracles		CBSC	oracles	oracles	http://lccn.loc.gov/sh85095217																																												http://syriaca.org/keyword/religion				http://syriaca.org/keyword/speech-acts									
Orality		CBSC	orality	orality	http://lccn.loc.gov/sh94001362																																		http://syriaca.org/keyword/linguistics																							
Ordination		CBSC	ordination	ordination	http://lccn.loc.gov/sh85095385													http://syriaca.org/keyword/administration			http://syriaca.org/keyword/christianity																																									
Origenism		CBSC	Origenism	origenism																	http://syriaca.org/keyword/christianity											http://syriaca.org/keyword/ideology																														
Orthodoxy		CBSC	orthodoxy	orthodoxy																												http://syriaca.org/keyword/ideology																	http://syriaca.org/keyword/religion													
Orthography		CBSC	orthography	orthography	http://lccn.loc.gov/sh85074530																																		http://syriaca.org/keyword/linguistics																			http://syriaca.org/keyword/writing				
Ostraca		CBSC	ostraca	ostraca	http://lccn.loc.gov/sh85096005																																			http://syriaca.org/keyword/literature				http://syriaca.org/keyword/objects														http://syriaca.org/keyword/writing				
Other Theological Works		NHSL		other-theological-works																											http://syriaca.org/keyword/genres																												x	What does this refer to? Do we need this?		
Paidagogues		new		paidagogues				teacher	educator					paidagogus		παιδαγωγός									http://syriaca.org/keyword/education																				http://syriaca.org/keyword/occupations																	
Painters		new		painters										pictor																															http://syriaca.org/keyword/occupations																	
Paleography		CBSC	paleography	paleography	http://lccn.loc.gov/sh85097064																																		http://syriaca.org/keyword/linguistics																			http://syriaca.org/keyword/writing				
Palimpsests		CBSC	palimpsest	palimpsests																																				http://syriaca.org/keyword/literature				http://syriaca.org/keyword/objects														http://syriaca.org/keyword/writing				
Palm Sunday		CBSC	Palm Sunday	palm-sunday	http://lccn.loc.gov/sh85097230																http://syriaca.org/keyword/christianity							http://syriaca.org/keyword/events																						http://syriaca.org/keyword/ritual					http://syriaca.org/keyword/time							
Palmistry		CBSC	palmistry	palmistry	http://lccn.loc.gov/sh85097242																																												http://syriaca.org/keyword/religion					http://syriaca.org/keyword/techne								
Palmyrene		CBSC	Palmyrene	palmyrene																																	http://syriaca.org/keyword/languages																									
Papyri		CBSC	papyri	papyri																																				http://syriaca.org/keyword/literature				http://syriaca.org/keyword/objects														http://syriaca.org/keyword/writing	x	Papyri is listed in LOC according to language- Greek/ Coptic/ etc.		
Parables		CBSC	parables	parables	http://lccn.loc.gov/sh85097715																										http://syriaca.org/keyword/genres									http://syriaca.org/keyword/literature																						
Paradise		CBSC	Paradise	paradise	http://lccn.loc.gov/sh85097749																																										http://syriaca.org/keyword/places		http://syriaca.org/keyword/religion													
Parchments		CBSC	parchments	parchments																																								http://syriaca.org/keyword/objects														http://syriaca.org/keyword/writing				
Paronomasia		CBSC	paronomasia	paronomasia																																			http://syriaca.org/keyword/linguistics	http://syriaca.org/keyword/literature																						
Parthians		SPEAR	Parthians	parthians	http://lccn.loc.gov/sh85098343																		http://syriaca.org/keyword/dynasties																																							
Passion		CBSC	Passion	passion																	http://syriaca.org/keyword/christianity							http://syriaca.org/keyword/events																																		
Passions		CBSC	passions	passions	http://lccn.loc.gov/sh85042818																					http://syriaca.org/keyword/ethics																http://syriaca.org/keyword/mental-states							http://syriaca.org/keyword/religion										x	What is the difference between "emotions" and "passions"?		
Passover		CBSC	Passover	passover	http://lccn.loc.gov/sh85098533																							http://syriaca.org/keyword/events								http://syriaca.org/keyword/judaism														http://syriaca.org/keyword/ritual					http://syriaca.org/keyword/time							
Patriarchates		CBSC	patriarchate	patriarchates	http://lccn.loc.gov/sh85098724													http://syriaca.org/keyword/administration			http://syriaca.org/keyword/christianity																																									
Patriarchs		CBSC	patriarchs	patriarchs	http://lccn.loc.gov/sh85098724																															http://syriaca.org/keyword/judaism										http://syriaca.org/keyword/persons						http://syriaca.org/keyword/socioeconomic-status										
Patricians		SPEAR	patrician	patricians	http://lccn.loc.gov/sh85098730																																															http://syriaca.org/keyword/socioeconomic-status										
Patristics		CBSC	patristics	patristics	http://lccn.loc.gov/sh85047462																								http://syriaca.org/keyword/fields-of-study																																	
Patronage		CBSC	patronage	patronage														http://syriaca.org/keyword/administration						http://syriaca.org/keyword/economics									http://syriaca.org/keyword/institutions																			http://syriaca.org/keyword/socioeconomic-status										
Peace		CBSC	peace	peace	http://lccn.loc.gov/sh85098940																																																									
Pearls		CBSC	pearl	pearls	http://lccn.loc.gov/sh85099037																			http://syriaca.org/keyword/economics																				http://syriaca.org/keyword/objects																		
Penal laborers		new		penal-laborers				prisoners	prison laborers																																				http://syriaca.org/keyword/occupations																	
Penitence		CBSC	penitence	penitence	http://lccn.loc.gov/sh85112909																http://syriaca.org/keyword/christianity					http://syriaca.org/keyword/ethics																								http://syriaca.org/keyword/ritual												
Pentecost		CBSC	Pentecost	pentecost	http://lccn.loc.gov/sh85099628																http://syriaca.org/keyword/christianity																													http://syriaca.org/keyword/ritual					http://syriaca.org/keyword/time							
Pericopes		CBSC	pericope	pericopes	http://lccn.loc.gov/nr2001031285																																			http://syriaca.org/keyword/literature																						
Persecution		CBSC	persecution	persecution	http://lccn.loc.gov/sh85100050																							http://syriaca.org/keyword/events																																		
Persian language		CBSC	Persian language	persian-language	http://lccn.loc.gov/sh99013839		ISO 639-1: fa																														http://syriaca.org/keyword/languages																									
Persian martyrs		CBSC	Persian martyrs	persian-martyrs																	http://syriaca.org/keyword/christianity																									http://syriaca.org/keyword/persons																
Persians		SPEAR	Persians	persians																							http://syriaca.org/keyword/ethnicity																																			
Persons	category	category		persons																																																										
Phantasiasm		CBSC	Phantasiasm	phantasiasm																	http://syriaca.org/keyword/christianity											http://syriaca.org/keyword/ideology																														
Philo-Judaism		CBSC	philo-Judaism	philo-judaism																	http://syriaca.org/keyword/christianity											http://syriaca.org/keyword/ideology																														
Philosophers		new		philosophers																																									http://syriaca.org/keyword/occupations																	
Philosophy		CBSC	philosophy	philosophy	http://lccn.loc.gov/sh85100849																								http://syriaca.org/keyword/fields-of-study																																	
Phoenix		CBSC	Phoenix	phoenix																																										http://syriaca.org/keyword/persons																
Phonology		CBSC	phonology	phonology	http://lccn.loc.gov/sh85101065																								http://syriaca.org/keyword/fields-of-study										http://syriaca.org/keyword/linguistics																							
Physicians		CBSC	physician	physicians	http://lccn.loc.gov/n86828890			doctor	medical professional																																				http://syriaca.org/keyword/occupations																	
Physics		CBSC	physics	physics																									http://syriaca.org/keyword/fields-of-study																																	
Physiognomy		CBSC	physiognomy	physiognomy	http://lccn.loc.gov/sh85101673																								http://syriaca.org/keyword/fields-of-study																																	
Pilgrimage		CBSC	pilgrimage	pilgrimage	http://lccn.loc.gov/sh85102131																							http://syriaca.org/keyword/events																					http://syriaca.org/keyword/religion	http://syriaca.org/keyword/ritual												
Places	category	category		places				place types									A general category used for things pertaining to places and place types whether real or imagined.																																													
Plague		CBSC	plague	plague	http://lccn.loc.gov/sh85102591																							http://syriaca.org/keyword/events																																		
Plants		CBSC	plants	plants	http://lccn.loc.gov/sh85102839																																							http://syriaca.org/keyword/objects																		
Plasterers		new		plasterers				stuccoers						tectores																															http://syriaca.org/keyword/occupations																	
Poetics		CBSC	poetics	poetics	http://lccn.loc.gov/sh85103703																																		http://syriaca.org/keyword/linguistics																							
Poetry		CBSC	poetry	poetry	http://lccn.loc.gov/sh85103704																										http://syriaca.org/keyword/genres																															
Polemic		CBSC	polemic	polemic	http://lccn.loc.gov/sh85104172																										http://syriaca.org/keyword/genres									http://syriaca.org/keyword/literature													http://syriaca.org/keyword/speech-acts									
Polemics		CBSC	polemics	polemics	http://lccn.loc.gov/sh85104172																																			http://syriaca.org/keyword/literature													http://syriaca.org/keyword/speech-acts									
Politics		CBSC	politics	politics	http://lccn.loc.gov/sh85104440													http://syriaca.org/keyword/administration																																												
Polyglot Bible		CBSC	Polyglot Bible	polyglot-bible																	http://syriaca.org/keyword/christianity										http://syriaca.org/keyword/genres					http://syriaca.org/keyword/judaism								http://syriaca.org/keyword/objects																		
Poor		CBSC	poor	poor	http://lccn.loc.gov/sh85104834																					http://syriaca.org/keyword/ethics																				http://syriaca.org/keyword/persons						http://syriaca.org/keyword/socioeconomic-status										
Popular religion		CBSC	popular religion	popular-religion																																													http://syriaca.org/keyword/religion													
Population		CBSC	population	population	http://lccn.loc.gov/sh85104910																																																									
Porters		new		porters				doorkeepers	door keepers																																				http://syriaca.org/keyword/occupations																	
Portugese language		CBSC	Portugese	portugese-language	http://lccn.loc.gov/n87896601		ISO 639-1: pt																														http://syriaca.org/keyword/languages																									
Postcolonialism		CBSC	postcolonialism	postcolonialism																									http://syriaca.org/keyword/fields-of-study																																	
Potters		new		potters				clay workers																																					http://syriaca.org/keyword/occupations																	
Pottery		CBSC	pottery	pottery	http://lccn.loc.gov/sh85105729																																							http://syriaca.org/keyword/objects																		
Poulterers		new		poulterers				farmers of fowl	raisers of fowl																																				http://syriaca.org/keyword/occupations																	
Poverty		CBSC	poverty	poverty	http://lccn.loc.gov/sh85105939																			http://syriaca.org/keyword/economics																												http://syriaca.org/keyword/socioeconomic-status										
Prayer		CBSC	prayer	prayer	http://lccn.loc.gov/sh85106113																							http://syriaca.org/keyword/events			http://syriaca.org/keyword/genres																		http://syriaca.org/keyword/religion	http://syriaca.org/keyword/ritual			http://syriaca.org/keyword/speech-acts									
Preface		CBSC	preface	preface	http://lccn.loc.gov/sh85106264																																			http://syriaca.org/keyword/literature																						
Priesthood		CBSC	priesthood	priesthood	http://lccn.loc.gov/sh85106634																																												http://syriaca.org/keyword/religion													
Priests		CBSC	priest	priests	http://lccn.loc.gov/sh85106637																																								http://syriaca.org/keyword/occupations				http://syriaca.org/keyword/religion													
Primaries	category	category		primaries																																																										
Primary sources [Arabic]		CBSC	primary sources [Arabic]	primary-sources-arabic																																												http://syriaca.org/keyword/primaries														
Primary sources [Arabic] in Dutch translation		CBSC	primary sources [Arabic] - Dutch translation	primary-sources-arabic-in-dutch-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [Arabic] in English translation		CBSC	primary sources [Arabic] - English translation	primary-sources-arabic-in-english-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [Arabic] in French translation		CBSC	primary sources [Arabic] - French translation	primary-sources-arabic-in-french-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [Arabic] in German translation		CBSC	primary sources [Arabic] - German translation	primary-sources-arabic-in-german-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [Arabic] in Italian translation		CBSC	primary sources [Arabic] - Italian translation	primary-sources-arabic-in-italian-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [Arabic] in Latin translation		CBSC	primary sources [Arabic] - Latin translation	primary-sources-arabic-in-latin-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [Arabic] in Russian translation		CBSC	primary sources [Arabic] - Russian translation	primary-sources-arabic-in-russian-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [Arabic] in Spanish translation		CBSC	primary sources [Arabic] - Spanish translation	primary-sources-arabic-in-spanish-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [Arabic] with English translation		CBSC	primary sources [Arabic] + English translation	primary-sources-arabic-with-english-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [Arabic] with French translation		CBSC	primary sources [Arabic] + French translation	primary-sources-arabic-with-french-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [Arabic] with German translation		CBSC	primary sources [Arabic] + German translation	primary-sources-arabic-with-german-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [Arabic] with Italian translation		CBSC	primary sources [Arabic] + Italian translation	primary-sources-arabic-with-italian-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [Arabic] with Latin translation		CBSC	primary sources [Arabic] + Latin translation	primary-sources-arabic-with-latin-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [Arabic] with Russian translation		CBSC	primary sources [Arabic] + Russian translation	primary-sources-arabic-with-russian-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [Arabic] with Spanish translation		CBSC	primary sources [Arabic] + Spanish translation	primary-sources-arabic-with-spanish-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [Armenian]		CBSC	primary sources [Armenian]	primary-sources-armenian																																												http://syriaca.org/keyword/primaries														
Primary sources [Armenian] in English translation		CBSC	primary sources [Armenian] - English translation	primary-sources-armenian-in-english-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [Armenian] in French translation		CBSC	primary sources [Armenian] - French translation	primary-sources-armenian-in-french-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [Armenian] in German translation		CBSC	primary sources [Armenian] - German translation	primary-sources-armenian-in-german-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [Armenian] in Italian translation		CBSC	primary sources [Armenian] - Italian translation	primary-sources-armenian-in-italian-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [Armenian] in Latin translation		CBSC	primary sources [Armenian] - Latin translation	primary-sources-armenian-in-latin-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [Armenian] with English translation		CBSC	primary sources [Armenian] + English translation	primary-sources-armenian-with-english-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [Armenian] with French translation		CBSC	primary sources [Armenian] + French translation	primary-sources-armenian-with-french-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [Armenian] with German translation		CBSC	primary sources [Armenian] + German translation	primary-sources-armenian-with-german-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [Armenian] with Latin translation		CBSC	primary sources [Armenian] + Latin translation	primary-sources-armenian-with-latin-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [Armenian] with Russian translation		CBSC	primary sources [Armenian] + Russian translation	primary-sources-armenian-with-russian-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [Chinese] in English translation		CBSC	primary sources [Chinese] - English translation	primary-sources-chinese-in-english-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [Chinese] in Latin translation		CBSC	primary sources [Chinese] - Latin translation	primary-sources-chinese-in-latin-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [Chinese] in Russian translation		CBSC	primary sources [Chinese] - Russian translation	primary-sources-chinese-in-russian-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [Chinese] with English translation		CBSC	primary sources [Chinese] + English translation	primary-sources-chinese-with-english-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [Coptic]		CBSC	primary sources [Coptic]	primary-sources-coptic																																												http://syriaca.org/keyword/primaries														
Primary sources [Coptic] with English translation		CBSC	primary sources [Coptic] + English translation	primary-sources-coptic-with-english-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [Coptic] with French translation		CBSC	primary sources [Coptic] + French translation	primary-sources-coptic-with-french-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [Coptic] with German translation		CBSC	primary sources [Coptic] + German translation	primary-sources-coptic-with-german-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [Coptic] with Latin translation		CBSC	primary sources [Coptic] + Latin translation	primary-sources-coptic-with-latin-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [Dutch] with English translation		CBSC	primary sources [Dutch] + English translation	primary-sources-dutch-with-english-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [English]		CBSC	primary sources [English]	primary-sources-english																																												http://syriaca.org/keyword/primaries														
Primary sources [Geez]		CBSC	primary sources [Geez]	primary-sources-geez																																												http://syriaca.org/keyword/primaries														
Primary sources [Geez] in English translation		CBSC	primary sources [Geez] - English translation	primary-sources-geez-in-english-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [Geez] in French translation		CBSC	primary sources [Geez] - French translation	primary-sources-geez-in-french-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [Geez] with English translation		CBSC	primary sources [Geez] + English translation	primary-sources-geez-with-english-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [Geez] with French translation		CBSC	primary sources [Geez] + French translation	primary-sources-geez-with-french-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [Geez] with German translation		CBSC	primary sources [Geez] + German translation	primary-sources-geez-with-german-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [Geez] with Italian translation		CBSC	primary sources [Geez] + Italian translation	primary-sources-geez-with-italian-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [Geez] with Portugese translation		CBSC	primary sources [Geez] + Portugese translation	primary-sources-geez-with-portugese-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [Georgian]		CBSC	primary sources [Georgian]	primary-sources-georgian																																												http://syriaca.org/keyword/primaries														
Primary sources [Georgian] in French translation		CBSC	primary sources [Georgian] - French translation	primary-sources-georgian-in-french-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [Georgian] in German translation		CBSC	primary sources [Georgian] - German translation	primary-sources-georgian-in-german-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [Georgian] in Latin translation		CBSC	primary sources [Georgian] - Latin translation	primary-sources-georgian-in-latin-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [Georgian] in Russian translation		CBSC	primary sources [Georgian] - Russian translation	primary-sources-georgian-in-russian-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [Georgian] with French translation		CBSC	primary sources [Georgian] + French translation	primary-sources-georgian-with-french-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [Georgian] with Latin translation		CBSC	primary sources [Georgian] + Latin translation	primary-sources-georgian-with-latin-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [Georgian] with Russian translation		CBSC	primary sources [Georgian] + Russian translation	primary-sources-georgian-with-russian-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [Greek]		CBSC	primary sources [Greek]	primary-sources-greek																																												http://syriaca.org/keyword/primaries														
Primary sources [Greek] in Dutch translation		CBSC	primary sources [Greek] - Dutch translation	primary-sources-greek-in-dutch-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [Greek] in English translation		CBSC	primary sources [Greek] - English translation	primary-sources-greek-in-english-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [Greek] in French translation		CBSC	primary sources [Greek] - French translation	primary-sources-greek-in-french-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [Greek] in German translation		CBSC	primary sources [Greek] - German translation	primary-sources-greek-in-german-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [Greek] in Italian translation		CBSC	primary sources [Greek] - Italian translation	primary-sources-greek-in-italian-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [Greek] in Latin translation		CBSC	primary sources [Greek] - Latin translation	primary-sources-greek-in-latin-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [Greek] in Polish translation		CBSC	primary sources [Greek] - Polish translation	primary-sources-greek-in-polish-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [Greek] in Romanian translation		CBSC	primary sources [Greek] - Romanian translation	primary-sources-greek-in-romanian-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [Greek] in Russian translation		CBSC	primary sources [Greek] - Russian translation	primary-sources-greek-in-russian-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [Greek] in Spanish translation		CBSC	primary sources [Greek] - Spanish translation	primary-sources-greek-in-spanish-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [Greek] with English translation		CBSC	primary sources [Greek] + English translation	primary-sources-greek-with-english-translation																																												http://syriaca.org/keyword/primaries														
Primary sources [Greek] with French translation		CBSC	primary sources [Greek] + French translation	primary-sources-greek-with-french-translation																																												http://syriaca.org/keyword/primaries														
