term syriaca-headword.en	***Categories	***Source	***currently in use	New URI	idno URI	idno URI	idno	gloss.en	gloss.en	gloss.en	gloss.en	gloss.en	gloss.en	gloss.ln	gloss.ln	gloss.grc	note abstract	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	relation skos---broadMatch	***[revisit]	***[NOTES]		
Anaphoras		CBSC	anaphoras	anaphoras	http://id.loc.gov/authorities/subjects/sh85045511			Prayer of Consecration (Liturgy)	Eucharistic Prayers																																http://syriaca.org/keyword/liturgy																					
Anathema		CBSC	anathema	anathema	http://id.loc.gov/authorities/subjects/sh85046255			excommunication	expulsion																																								http://syriaca.org/keyword/religion				http://syriaca.org/keyword/speech-acts									
Anchorites		CBSC	anchorites	anchorites	http://id.loc.gov/authorities/subjects/sh85060417			eremites	hermits	ascetics	anachoret																																http://syriaca.org/keyword/monasticism		http://syriaca.org/keyword/occupations																	
Angelology		CBSC	angelology	angelology		http://d-nb.info/gnd/4136179-9																																											http://syriaca.org/keyword/religion													
Angels		CBSC	angels	angels	http://id.loc.gov/authorities/subjects/sh85005001																																									http://syriaca.org/keyword/persons			http://syriaca.org/keyword/religion													
Anglicans		CBSC	Anglicans	anglicans	http://id.loc.gov/authorities/subjects/sh85005054																http://syriaca.org/keyword/christianity												http://syriaca.org/keyword/institutions																													
Animals	category	CBSC	animals	animals	http://id.loc.gov/authorities/subjects/sh85005249			beasts	fauna	wildlife																																																				
Annunciation		CBSC	Annunciation	annunciation	http://id.loc.gov/authorities/subjects/sh85081693																http://syriaca.org/keyword/christianity																																									
Anointing		CBSC	anointing	anointing	http://id.loc.gov/authorities/subjects/sh85139572			annointing	unction												http://syriaca.org/keyword/christianity																												http://syriaca.org/keyword/religion	http://syriaca.org/keyword/ritual									x	What is the difference between "anointing" and "seal"?		
Anonymous		CBSC	anonymous	anonymous	http://id.loc.gov/authorities/subjects/sh86003159			anonymous writings	writings of unknown authors	anonymity																														http://syriaca.org/keyword/literature																		http://syriaca.org/keyword/writing				
Anthology		CBSC	anthology	anthology	http://id.loc.gov/authorities/subjects/sh99001634			literary anthologies	literary collections																															http://syriaca.org/keyword/literature																						
Anthropology		CBSC	anthropology	anthropology	http://id.loc.gov/authorities/subjects/sh85005581																								http://syriaca.org/keyword/fields-of-study																																	
Anti-Armenian		CBSC	anti-Armenian	anti-armenian																												http://syriaca.org/keyword/ideology																														
Anti-Chalcedonian		CBSC	anti-Chalcedonian	anti-chalcedonian				non-Chalcedonian													http://syriaca.org/keyword/christianity											http://syriaca.org/keyword/ideology																	http://syriaca.org/keyword/religion													
Anti-Christian		CBSC	anti-Christian	anti-christian																	http://syriaca.org/keyword/christianity											http://syriaca.org/keyword/ideology																	http://syriaca.org/keyword/religion													
Anti-Hellenism		CBSC	anti-Hellenism	anti-hellenism																												http://syriaca.org/keyword/ideology																	http://syriaca.org/keyword/religion													
Anti-Jacobite		CBSC	anti-Jacobite	anti-jacobite																												http://syriaca.org/keyword/ideology																	http://syriaca.org/keyword/religion													
Anti-Judaism		CBSC	anti-Judaism	anti-judaism																												http://syriaca.org/keyword/ideology				http://syriaca.org/keyword/judaism													http://syriaca.org/keyword/religion													
Anti-Manichaean		CBSC	anti-Manichaean	anti-manichaean																												http://syriaca.org/keyword/ideology																	http://syriaca.org/keyword/religion													
Anti-Marcionite		CBSC	anti-Marcionite	anti-marcionite																												http://syriaca.org/keyword/ideology																	http://syriaca.org/keyword/religion													
Anti-Melkite		CBSC	anti-Melkite	anti-melkite																												http://syriaca.org/keyword/ideology																	http://syriaca.org/keyword/religion													
Anti-Nestorian		CBSC	anti-Nestorian	anti-nestorian																												http://syriaca.org/keyword/ideology																	http://syriaca.org/keyword/religion													
Antichrist		CBSC	Antichrist	antichrist	http://id.loc.gov/authorities/subjects/sh85005655																http://syriaca.org/keyword/christianity																												http://syriaca.org/keyword/religion													
Antiochene school		CBSC	Antiochene school	antiochene-school	http://id.loc.gov/authorities/subjects/sh85005723 			antiochian theology	antiochian school																http://syriaca.org/keyword/education								http://syriaca.org/keyword/institutions																													
Antiphons		CBSC	antiphons	antiphons	http://id.loc.gov/authorities/subjects/sh85005735 																																			http://syriaca.org/keyword/literature																						
Apocalypticism		CBSC	apocalypticism	apocalypticism	http://id.loc.gov/authorities/subjects/sh85006003			apocalyptic literature																																									http://syriaca.org/keyword/religion													
